Имя;Номер работы;Раздел;Подраздел;Код системы;Номер страницы начальной;Номер страницы конечной;Номер фактической страницы
Цепь определения состояния выхода выдачи предупреждения отказа привод-генератора правого двигателя ошибочно не активна;24-20-00-810-919;24-20-00;810-919;24-20-00;201;202;339
Цепь определения состояния выхода выдачи предупреждения отказа привод-генератора правого двигателя ошибочно активна;24-20-00-810-920;24-20-00;810-920;24-20-00;201;202;341
Отказ сигнализатора давления масла привод-генератора правого двигателя или цепи сигнализатора давления;24-20-00-810-921;24-20-00;810-921;24-20-00;201;202;343
Низкое давление масла привод-генератора правого двигателя;24-20-00-810-922;24-20-00;810-922;24-20-00;201;202;345
Выход выдачи предупреждения отказа генератора правого двигателя ошибочно активен;24-20-00-810-923;24-20-00;810-923;24-20-00;201;202;347
Выход выдачи предупреждения отказа генератора правого двигателя ошибочно не активен;24-20-00-810-924;24-20-00;810-924;24-20-00;201;202;349
Статус сигнала отключения привод-генератора правого двигателя ошибочно не активен;24-20-00-810-925;24-20-00;810-925;24-20-00;201;202;351
Статус сигнала отключения привод-генератора правого двигателя ошибочно активен;24-20-00-810-926;24-20-00;810-926;24-20-00;201;202;353
Отказ цепи определения частоты в точки регулирования или генератора на постоянных магнитах привод-генератора правого двигателя;24-20-00-810-927;24-20-00;810-927;24-20-00;201;202;355
Кнопка-табло FIRE правого двигателя активна;24-20-00-810-928;24-20-00;810-928;24-20-00;201;202;357
Ошибка програмирования блока управления генератором правого двигателя с помощью перемычек;24-20-00-810-929;24-20-00;810-929;24-20-00;201;202;359
Сигнал статуса отключения генератора правого двигателя ошибочно активен;24-20-00-810-930;24-20-00;810-930;24-20-00;201;202;361
Сигнал статуса отключения генератора правого двигателя ошибочно не активен;24-20-00-810-931;24-20-00;810-931;24-20-00;201;202;363
Сигнал статуса наличия одного источника переменного тока от блока управления генератором правого двигателя ошибочно активен;24-20-00-810-932;24-20-00;810-932;24-20-00;201;202;365
Сигнал статуса наличия одного источника переменного тока от блока управления генератором правого двигателя ошибочно не активен;24-20-00-810-933;24-20-00;810-933;24-20-00;201;202;367
Сигнал статуса наличия блокировки превышения тока генератора правого двигателя ошибочно активен;24-20-00-810-934;24-20-00;810-934;24-20-00;201;202;369
Сигнал статуса наличия блокировки при превышении тока генератора правого двигателя ошибочно не активен;24-20-00-810-935;24-20-00;810-935;24-20-00;201;202;371
Коротокое замыкание или обрыв в цепи генератора на постоянных магнитах генератора правого двигателя;24-20-00-810-936;24-20-00;810-936;24-20-00;201;202;373
Сигнал статуса наличия короткого замыкание или обрыва в цепи генератора на постоянных магнитах генератора правого двигателя ошибочно активен;24-20-00-810-937;24-20-00;810-937;24-20-00;201;202;375
Срабатывание защиты от повышенного напряжения генератора правого двигателя, вызванное отказом цепи точки регулировани;24-20-00-810-938;24-20-00;810-938;24-20-00;201;202;377
Срабатывание защиты от повышенного напряжения генератора правого двигателя, вызванное коротким замыканием минусовой цепи возбудителя генератор на корпус или экран;24-20-00-810-939;24-20-00;810-939;24-20-00;201;202;379
Срабатывание защиты от повышенного напряжения генератора правого двигателя, вызванное обрывом нейтрали цепи точки регулирования;24-20-00-810-940;24-20-00;810-940;24-20-00;201;202;381
